SEZ2011,PF1
480170061772,37
480170061779,177
480170061781,200
480170061782,117
480170061783,0
480170061786,204
480170061787,69
480170061792,1705
480170061793,132
480170061794,704
480170061796,0
480170061798,266
480170061799,24
480170061804,387
480170061805,741
480170061808,890
480170061813,194
480170061814,176
480170061816,52
480170061817,2304
480170061819,16
480170061820,471
480170061822,138
480170061824,68
480170061826,384
480170061827,354
480170061831,102
480170061832,282
480170061834,5592
480170061838,78
480170061840,444
480170061844,453
480170061848,30
480170061850,828
480170061853,166
480170061856,238
480170061858,338
480170061862,624
480170061863,73
480170061866,73
480170061867,144
480170061869,124
480170061870,318
480170061873,1080
480170061877,195
480170061878,402
480170061879,50
480170061880,9481
480170061881,108
480170061884,756
480170061885,234
480170061886,3952
480170061888,2
480170061890,196
480170061894,1056
480170061895,130
480170061896,58
480170061897,222
480170061898,52
480170061900,3762
480170061901,448
480170061902,143
480170061904,57
480170061905,128
480170061906,1992
480170061910,84
480170061911,920
480170061912,560
480170061914,2180
480170061915,408
480170061921,214
480170061922,995
480170061924,1526
480170061925,68
480170061928,276
480170061931,1365
480170061932,854
480170061933,669
480170061936,388
480170061937,5890
480170061938,264
480170061944,58
480170061945,708
480170061950,49
480170061952,157
480170061954,160
480170061955,246
480170061956,317
480170061957,79
480170061958,2886
480170061959,193
480170061961,168
480170061963,746
480170061965,651
480170061966,40
480170061967,183
480170061968,204
480170061969,60
480170061974,10
480170061978,36
480170061979,1560
480170061983,135
480170061984,56
480170061985,76
480170061986,616
480170061987,358
480170061988,280
480170061989,19
480170061990,91
480170061991,651
480170061992,164
480170061994,2392
480170061996,664
480170062004,298
480170062006,212
480170062007,59
480170062008,462
480170062012,6
480170062014,160
480170062016,161
480170062017,79
480170062018,1
480170062019,41
480170062020,2320
480170062021,22
480170062024,19
480170062025,291
480170062026,450
480170062027,55
480170062032,1257
480170062035,9072
480170062036,126
480170062040,742
480170062041,639
480170062048,196
480170062049,1060
480170062050,852
480170062052,33
480170062054,142
480170062055,438
480170062057,284
480170062058,76
480170062059,14
480170062062,81
480170062066,274
480170062069,38
480170062072,29
480170062079,945
480170062081,163
480170062085,67
480170062087,16
480170062089,66
480170062090,200
480170062091,74
480170062093,9
480170062094,232
480170062096,13
480170062097,5110
480170062098,79
480170062099,86
480170062103,105
480170062105,36
480170062106,214
480170062108,20
480170062109,3
480170062110,33
480170062111,15
480170062119,37
480170062120,15
480170062121,130
480170062122,42
480170062124,30
480170062125,280
480170062126,635
480170062127,7152
480170062131,93
480170062133,20
480170062135,125
480170062137,8
480170062140,226
480170062142,1
480170062143,4
480170062147,12
480170062149,7
480170062150,117
480170062154,384
480170062155,878
480170062157,105
480170062158,32
480170062159,51
480170062160,37
480170062161,14
480170062162,11
480170062163,9
480170062164,135
480170062167,376
480170062169,40
480170062177,6930
480170062181,34
480170062186,0
