SEZ2011,AGG_COUNT,commercial,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,A46,A47,PF1,bedrooms,accommodates,E27
"480170060540","1","1","1","1","0","37","76","119","0","2","116"
"480170060541","1","0","1","1","0","25","69","101","1","4","106"
"480170060542","20","12","19","19","8","540","720","1500","34","77","2100"
"480170060543","1","0","1","1","0","28","102","151","1","4","162"
"480170060544","7","3","6","7","2","7","7","14","8","23","14"
"480170060545","14","13","12","14","9","126","70","224","27","65","518"
"480170060546","1","0","1","0","0","39","114","176","1","2","181"
"480170060547","15","12","15","14","10","150","465","735","29","66","795"
"480170060548","2","2","2","2","2","0","0","4","4","10","20"
"480170060551","22","19","21","20","16","528","1144","1870","38","103","2068"
"480170060554","9","9","8","9","9","0","18","27","16","38","117"
"480170060555","4","0","4","1","0","36","408","496","5","10","528"
"480170060557","19","14","17","17","9","798","1311","2394","27","70","2204"
"480170060558","8","7","8","8","5","176","256","504","13","32","504"
"480170060559","70","47","61","64","39","350","350","910","111","289","1890"
"480170060560","14","9","14","11","8","336","252","686","19","57","812"
"480170060561","5","1","5","4","0","95","505","685","9","19","795"
"480170060563","10","5","9","10","3","320","990","1420","13","32","1300"
"480170060564","2","1","2","0","1","8","60","72","2","3","110"
"480170060565","24","19","22","23","17","504","1320","2136","37","110","3048"
"480170060566","15","10","15","13","6","120","270","435","29","81","675"
"480170060568","2","1","2","1","1","22","118","160","3","6","202"
"480170060570","16","11","15","15","7","304","96","432","24","64","464"
"480170060571","19","11","18","19","10","57","570","703","31","78","494"
"480170060573","12","6","12","12","4","132","468","684","18","50","744"
"480170060574","53","39","50","43","35","424","901","1537","81","210","1696"
"480170060576","7","1","7","5","0","280","693","1078","12","26","1260"
"480170060577","43","34","42","42","23","860","1462","2838","89","200","3483"
"480170060578","2","1","2","2","0","76","386","496","3","6","474"
"480170060580","2","1","2","2","0","108","330","468","3","8","484"
"480170060581","25","22","25","24","20","200","850","1250","48","121","1200"
"480170060582","3","1","3","3","0","183","192","399","4","7","423"
"480170060583","9","7","8","8","4","198","243","522","18","44","684"
"480170060584","19","14","15","19","9","228","589","950","26","80","1615"
"480170060585","4","4","4","3","3","52","52","120","6","16","232"
"480170060586","14","13","14","10","11","168","84","266","21","62","294"
"480170060588","19","9","16","17","8","475","1197","1824","27","75","1900"
"480170060589","32","25","30","31","19","928","1632","2880","64","142","3680"
"480170060590","13","12","13","3","10","195","754","1014","15","30","1352"
"480170060591","14","7","14","10","3","14","0","14","19","47","14"
"480170060592","8","6","6","6","5","160","384","768","11","31","1080"
"480170060593","26","24","22","22","22","1222","2184","4472","39","96","6552"
"480170060594","2","2","2","2","1","62","340","468","5","12","592"
"480170060595","11","9","11","10","4","176","220","462","20","49","649"
"480170060597","19","14","19","18","10","0","0","0","32","90","0"
"480170060598","1","0","1","1","0","32","85","132","2","5","154"
"480170060599","23","16","23","22","10","437","897","1610","37","91","1656"
"480170060600","1","0","1","0","0","11","40","56","1","1","82"
"480170060601","6","5","6","5","4","36","30","90","8","21","60"
"480170060602","2","0","2","2","0","42","106","152","2","8","228"
"480170060603","20","9","17","15","8","300","660","1060","30","68","1240"
"480170060604","2","1","2","2","1","0","0","0","2","6","0"
"480170060605","20","16","18","18","12","300","460","840","31","82","920"
"480170060606","56","31","53","46","21","1904","5600","8400","73","190","8792"
"480170060607","8","6","6","8","5","0","0","0","12","37","24"
"480170060608","16","10","14","14","7","224","208","448","29","59","816"
"480170060609","13","10","11","12","8","78","26","117","23","61","143"
"480170060612","5","2","5","5","0","55","115","180","8","19","135"
"480170060613","4","3","3","4","2","12","56","80","6","18","104"
"480170060614","15","11","13","14","7","465","1230","1905","19","57","2310"
"480170060615","2","1","2","2","1","48","282","362","4","10","324"
"480170060616","4","3","4","1","3","96","516","700","4","8","756"
"480170060617","14","10","10","13","7","196","294","588","24","60","658"
"480170060619","17","13","16","15","9","85","0","119","24","65","68"
"480170060620","3","2","3","2","1","33","234","324","5","12","378"
