SEZ2011,P1,A46,A47,PF1,E3,E27,SEZ2011_2,Shape_Leng,Shape_Area,field_1,id,listing_ur,last_scrap,name,host_id,host_name,host_since,host_locat,host_total,neighbourh,latitude,longitude,room_type,accommodat,bedrooms,price,availabili,availabi_1,availabi_2,availabi_3,number_of_,number_o_1,license,instant_bo,calculated,reviews_pe
480170060437,"50","2","26","33","10","32",480170060437,245.105111743999998,2411.008943670000008,"760","2182026",https://www.airbnb.com/rooms/2182026,2021/12/17,Pretty Sprone Palazzo Pitti,"10928614",Francesco,2013/12/31,IT,"10",Centro Storico,43.767000000000003,11.249510000000001,Entire home/apt,"2",1.000000000000000,56.000000000000000,"14","34","44","268","3","0",,t,"10",0.330000000000000
480170060438,"128","7","46","56","2","70",480170060438,385.807087325999987,8798.582324240000162,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060439,"130","3","49","55","3","54",480170060439,377.377647102000026,8738.029575279999335,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060440,"201","16","78","103","14","126",480170060440,667.101795731000038,26416.090400500001124,"1409","5019478",https://www.airbnb.com/rooms/5019478,2021/12/17,"Camera ampia, bella e ben arredata.","9304196",Araceli,2013/10/08,"Florence, Tuscany, Italy","2",Campo di Marte,43.766159999999999,11.277279999999999,Private room,"1",1.000000000000000,49.000000000000000,"0","16","46","292","3","1",,f,"2",0.300000000000000
480170060442,"168","14","55","78","33","76",480170060442,1282.884158209999896,73767.410187600020436,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060443,"116","2","50","62","20","81",480170060443,541.882545953999966,16159.159180099999503,"1187","4054458",https://www.airbnb.com/rooms/4054458,2021/12/17,Ad Vivendum-historic apartment,"20943364",Mattia,2014/09/04,"Scarperia, Tuscany, Italy","2",Campo di Marte,43.766559999999998,11.276640000000000,Entire home/apt,"5",3.000000000000000,129.000000000000000,"0","0","0","0","0","0",,f,"1",0.160000000000000
480170060444,"97","23","29","59","10","56",480170060444,282.257901834999984,3507.665521660000195,"1401","4990966",https://www.airbnb.com/rooms/4990966,2021/12/17,Pitti Apartment near Old Bridge,"16668450",Giancarlo,2014/06/11,"Florence, Tuscany, Italy","5",Centro Storico,43.767090000000003,11.250340000000000,Entire home/apt,"4",2.000000000000000,136.000000000000000,"17","47","77","352","0","0",,f,"4",2.050000000000000
480170060445,"3","1","0","3","1","3",480170060445,796.009383144000026,11055.676935800000138,,,,,,,,,,,,,,,,,,,,,,,,,,,
480170060446,"402","29","146","186","17","187",480170060446,673.531748406000020,19149.457376800000930,"2972","13762847",https://www.airbnb.com/rooms/13762847,2021/12/17,A casa di Luca brigth and welcoming,"80699884",Luca,2016/06/29,"Florence, Tuscany, Italy","1",Isolotto Legnaia,43.767409999999998,11.220560000000001,Entire home/apt,"4",2.000000000000000,33.000000000000000,"0","0","0","0","0","0",,f,"1",0.310000000000000
480170060448,"197","50","57","120","13","107",480170060448,325.492902817000015,5558.509245250000276,"573","1329332",https://www.airbnb.com/rooms/1329332,2021/12/17,Studio Apartment Barbadori,"380378",Officina 360,2011/02/07,"Florence, Tuscany, Italy","36",Centro Storico,43.767389999999999,11.251970000000000,Entire home/apt,"2",1.000000000000000,52.000000000000000,"25","55","85","348","11","2",,t,"26",0.490000000000000
480170060449,"311","16","127","154","15","194",480170060449,733.148688945000117,33257.445789299999888,"5370","25419845",https://www.airbnb.com/rooms/25419845,2021/12/17,Arcipressibed,"85912145",Marco,2016/07/25,"Scandicci, Tuscany, Italy","2",Isolotto Legnaia,43.767229999999998,11.213050000000001,Entire home/apt,"10",3.000000000000000,60.000000000000000,"0","0","0","0","0","0",,t,"2",0.020000000000000
480170060450,"97","23","24","49","8","63",480170060450,278.281137516999991,3807.820629939999890,"686","1807006",https://www.airbnb.com/rooms/1807006,2021/12/17,Romantic Medieval Tower Loft,"9467590",Alfredo,2013/10/16,Argentina,"2",Centro Storico,43.766979999999997,11.252890000000001,Entire home/apt,"4",2.000000000000000,221.000000000000000,"13","40","45","282","18","2",,f,"2",2.200000000000000
480170060451,"64","5","28","34","1","33",480170060451,281.548232612999982,4927.780416769999647,,,,,,,,,,,,,,,,,,,,,,,,,,,
