host_id,AGG_COUNT,host_total_listings_count,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,bedrooms,accommodates
"12416616","1","1","1","1","0","1","2"
"124201799","1","4","1","1","1","2","5"
"124211564","2","4","2","2","0","2","8"
"124235468","1","1","1","1","0","2","6"
"124237036","4","20","4","4","4","6","17"
"124240910","2","4","2","0","0","3","8"
"124247941","3","18","3","2","3","4","8"
"12438204","2","12","2","2","2","5","11"
"124393416","1","1","1","0","0","0","2"
"12453010","3","9","3","0","3","3","5"
"124595424","1","1","1","1","0","1","4"
"124692230","1","1","1","1","0","1","2"
"124699247","1","1","0","1","0","1","4"
"12480503","1","1","1","1","0","1","4"
"124962763","1","2","1","1","0","1","4"
"1250315","3","24","3","0","3","3","8"
"125212552","1","1","1","1","0","2","4"
"12533789","14","182","14","14","14","23","61"
"12535372","1","2","1","1","0","1","3"
"12540914","1","1","1","1","0","1","3"
"125559026","1","2","1","1","0","2","6"
"125721071","1","1","1","1","0","2","6"
"12572390","5","30","5","5","5","6","13"
"1259443","1","2","1","1","0","2","3"
"126057867","2","4","0","2","0","4","10"
"12610576","1","3","1","1","1","1","2"
"12611168","1","1","1","1","0","3","4"
"12613373","1","1","0","1","0","1","3"
"12613990","1","1","1","0","0","1","2"
"12627034","1","2","1","1","0","1","3"
"12628055","1","4","1","1","1","5","11"
"12635131","1","1","1","1","0","1","4"
"12638197","1","0","1","0","0","1","2"
"126427384","1","4","1","1","1","3","5"
"126557663","2","4","2","0","0","2","7"
"126576914","1","1","1","0","0","1","2"
"126614170","1","0","1","0","0","1","2"
"126627288","1","3","1","1","1","1","2"
"126640667","1","1","1","1","0","2","6"
"12684759","2","6","2","2","2","2","4"
"126866494","2","6","2","1","2","3","9"
"126869207","4","16","4","1","4","6","12"
"1269265","3","9","3","3","3","4","11"
"12693723","1","1","1","1","0","1","3"
"12693731","3","12","3","3","3","3","9"
"12694886","3","12","2","3","3","6","15"
"12695896","1","1","1","1","0","3","5"
"127153513","3","9","3","0","3","3","8"
"12720463","1","2","1","0","0","1","2"
"12754053","1","1","0","1","0","1","4"
"12767636","1","1","1","1","0","1","2"
"127739639","1","1","1","1","0","1","4"
"12791432","1","2","1","1","0","1","4"
"127968012","1","0","1","1","0","1","3"
"12796967","1","2","1","0","0","1","2"
"128026064","1","1","1","1","0","1","4"
"1280806","15","345","15","10","15","21","51"
"128392666","1","1","1","1","0","2","6"
"128427899","2","4","1","2","0","3","8"
"128499966","1","1","1","1","0","1","5"
"128519309","1","1","1","1","0","1","4"
"128525476","1","0","1","1","0","1","4"
"12853556","7","49","6","0","7","7","16"
"128547100","4","324","4","4","4","6","16"
"128579972","1","1","1","1","0","1","4"
"1286344","2","6","2","2","2","2","6"
"128776907","1","1","1","0","0","2","1"
"128785592","4","12","4","4","4","1","11"
"128815319","1","0","1","1","0","2","2"
"128897368","1","1","1","1","0","2","4"
"12890807","3","3","3","1","0","5","12"
"129005232","1","1","1","1","0","2","6"
"129216","11","198","11","11","11","17","44"
"129369970","1","0","1","1","0","2","5"
"129373922","1","1","1","0","0","1","2"
"129423261","1","2","1","1","0","1","2"
"12943595","1","1","1","1","0","1","3"
"12952600","2","14","2","2","2","4","9"
"129581940","1","1","1","1","0","1","3"
"129678337","1","1","1","1","0","1","2"
"129746847","4","16","4","4","4","6","18"
"12978744","1","0","1","0","0","1","1"
"12979503","1","1","1","0","0","1","2"
"12982157","2","88","2","2","2","2","6"
"12982213","1","2","1","1","0","1","2"
"129855763","1","1","1","1","0","1","4"
"129875802","2","6","2","2","2","1","6"
"12987920","1","2","1","0","0","1","2"
"129887832","1","0","1","1","0","1","3"
"129959907","1","1","1","1","0","1","3"
"130133830","5","35","5","5","5","5","21"
"130226595","1","1","1","0","0","1","2"
"13024531","1","1","1","1","0","1","4"
"130255323","1","1","1","1","0","2","4"
"1302596","1","1","0","1","0","2","4"
"130306490","1","2","1","0","0","1","2"
"130371897","1","1","1","1","0","1","3"
"130404102","3","9","3","3","3","5","12"
"130408343","1","1","1","1","0","1","2"
"130443677","1","1","1","1","0","1","4"
"13050508","8","40","8","8","8","10","25"
"130533985","2","2","2","2","0","2","5"
"130565532","1","1","1","1","0","1","4"
"130573293","1","1","0","1","0","1","2"
"13058296","1","1","1","1","0","1","4"
"13062364","1","1","1","1","0","2","5"
"13068622","2","12","2","2","2","2","4"
"130737544","1","1","1","1","0","2","6"
"131039753","3","354","3","3","3","3","9"
"131053477","1","0","1","1","0","1","2"
"13117280","2","4","2","2","0","2","6"
"13119188","3","9","3","0","3","2","10"
"13123597","1","1","1","0","0","1","1"
"1312711","1","1","1","0","0","1","2"
"1312791","1","1","1","1","0","1","4"
"13146441","1","1","1","1","0","1","4"
"131579536","1","3","1","1","1","1","2"
"131587443","1","0","1","1","0","1","4"
"131596737","1","1","1","0","0","1","2"
"131612573","1","1","1","1","0","2","4"
"131639087","1","1","1","1","0","2","4"
"131669311","2","6","2","2","2","2","8"
"13174140","1","1","1","1","0","1","2"
"131748428","1","1","1","0","0","1","2"
"131787972","1","1","1","0","0","1","2"
"13187777","1","2","1","1","0","2","4"
"131884559","1","2","1","1","0","1","3"
"13197045","1","1","1","1","0","1","4"
"13199273","1","2","1","1","0","2","4"
"13216828","1","0","1","1","0","1","4"
"132178937","1","1","1","1","0","1","3"
"13221319","2","2","2","2","0","5","12"
"132328097","1","1","1","0","0","0","2"
"13235304","1","1","1","1","0","1","2"
"132365579","1","2","1","1","0","3","7"
"132454403","2","4","2","2","0","2","7"
"132461969","1","1","1","1","0","2","3"
"132484367","2","4","2","2","0","3","8"
"132491353","1","2","1","1","0","1","2"
"13251288","15","225","15","15","15","25","61"
"132618616","2","4","2","2","0","2","5"
"132835366","1","1","1","1","0","3","6"
"132837667","2","10","2","1","2","2","5"
"132895745","1","1","1","1","0","2","4"
"132900359","2","4","2","0","0","2","6"
"132996210","1","1","1","1","0","1","2"
"133083535","1","1","1","1","0","1","4"
"133106320","2","4","2","0","0","2","5"
"133130920","1","1","1","1","0","1","2"
"133365331","1","1","1","1","0","2","6"
"133405218","3","6","3","3","0","4","10"
"133522494","1","1","1","1","0","1","4"
"133525988","1","1","1","1","0","1","2"
"133559881","1","1","1","1","0","1","2"
"133582149","1","3","1","1","1","2","6"
"133695988","2","4","2","2","0","3","10"
"13374428","1","1","1","1","0","1","4"
"133744546","1","1","1","1","0","2","4"
"1340797","2","4","2","2","0","3","8"
"134082918","2","0","2","0","0","3","6"
"1341126","1","1","1","1","0","2","6"
"134117332","1","2","1","1","0","1","4"
"134277363","1","2","1","1","0","2","4"
"13428806","2","12","2","2","2","4","7"
"13432581","1","1","1","1","0","0","2"
"13439179","1","2","1","1","0","2","6"
"13447992","1","1","1","1","0","1","4"
"13453371","1","1","1","1","0","1","4"
"134654839","2","4","2","2","0","5","10"
"134696157","4","16","4","0","4","4","11"
"13471263","1","3","1","0","1","1","1"
"134713091","1","1","1","1","0","2","5"
"134716848","1","1","1","1","0","2","6"
"13473984","1","1","1","0","0","1","3"
"134780795","1","1","1","1","0","2","5"
"13484588","1","0","1","1","0","2","4"
"134869786","1","1","1","1","0","1","3"
"134908963","2","4","2","2","0","3","8"
"134910885","1","1","1","1","0","1","4"
"13516515","1","1","1","1","0","1","2"
"135203707","1","1","0","1","0","1","2"
"13521905","1","1","1","1","0","2","6"
"135222467","1","1","1","1","0","1","4"
"13522401","2","4","2","2","0","6","8"
"1352615","1","0","1","1","0","2","5"
"135344186","2","4","2","2","0","5","10"
"135355293","1","1","1","1","0","2","4"
"13538000","1","2","0","1","0","2","3"
"135480985","1","1","1","1","0","1","2"
"13555222","1","1","1","1","0","1","3"
"13557585","5","0","5","1","0","8","17"
"135667058","1","1","1","0","0","1","2"
"135830112","4","16","4","2","4","5","15"
"13588850","1","1","1","0","0","1","2"
"135896096","1","3","1","1","1","2","5"
"13590023","1","1","1","1","0","1","4"
"135971574","1","1","1","0","0","1","2"
"135998883","1","1","1","0","0","1","3"
"13615173","1","1","1","0","0","1","1"
"136170770","2","4","2","2","0","3","11"
"13627150","2","4","2","2","0","2","5"
"136425804","1","1","1","1","0","1","3"
"136600836","1","2","1","1","0","1","3"
"1366654","2","4","2","2","0","2","6"
"13667503","1","2","1","1","0","1","2"
"13669322","1","1","1","1","0","3","8"
"136876070","1","0","1","0","0","1","2"
"1369058","10","110","10","8","10","2","20"
"137089510","1","2","1","0","0","1","2"
"13720385","1","2","1","1","0","1","4"
"1372403","3","9","3","1","3","4","10"
"1372461","3","15","3","3","3","3","12"
