SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170061170,5.0,3.0,1.5,
480170061173,4.0,,,
480170061174,5.0,,,
480170061176,4.333333333333333,,,
480170061177,4.066666666666666,,2.6666666666666665,9.0
480170061179,,,3.5,
480170061180,4.333333333333333,,,
480170061183,,,3.0,
480170061186,4.35,2.0,2.0,
480170061191,4.0,,,
480170061194,4.4,,2.3684210526315788,8.0
480170061196,8.0,,,
480170061201,4.071428571428571,,2.0,
480170061203,8.0,,,
480170061206,3.3333333333333335,,,
480170061208,3.2,,,
480170061210,6.0,,,
480170061213,3.0,,,
480170061214,3.6666666666666665,,,
480170061217,14.0,,1.0,
480170061221,4.65625,3.0,2.6,
480170061222,4.0,,1.5,
480170061223,5.333333333333333,,,
480170061224,3.5,,,
480170061226,4.078431372549019,2.0,2.259259259259259,5.0
480170061232,3.7777777777777777,,2.4166666666666665,
480170061235,4.0,,2.5,
480170061237,,,2.0,
480170061238,3.0,,,
480170061239,3.0,,,
480170061243,5.0,,,
480170061244,5.285714285714286,0.0,2.0,
480170061245,6.0,,2.0,
480170061247,5.333333333333333,,,
480170061249,3.6666666666666665,,,
480170061251,2.0,,3.0,
480170061252,4.846153846153846,,,
480170061257,5.222222222222222,1.5,2.5,9.0
480170061258,3.0,,,
480170061259,3.4375,,,
480170061261,5.083333333333333,4.0,1.5,1.0
480170061262,2.0,,2.0,
480170061263,3.4375,,2.1818181818181817,
480170061266,4.0,,,
480170061268,3.4444444444444446,,3.3333333333333335,
480170061270,3.0,,,
480170061271,3.1666666666666665,,2.0,
480170061273,3.5,,,
480170061275,9.0,,1.0,
480170061276,4.681818181818182,,2.125,
480170061277,,,2.0,
480170061278,4.0,,,
480170061279,4.428571428571429,,,
480170061280,4.5,1.5,2.5,1.0
480170061283,6.0,,1.6666666666666667,
480170061285,6.5,,2.0,
480170061286,4.315789473684211,,2.25,
480170061288,4.684210526315789,,1.0,1.0
480170061290,3.5,,,
480170061292,2.0,,,
480170061294,6.0,,,
480170061295,2.0,,,
480170061296,4.857142857142857,2.0,2.0,
480170061297,5.0,,3.0,
480170061299,5.75,,2.0,
480170061300,8.0,,3.0,
480170061301,4.25,2.142857142857143,2.0,
480170061303,3.625,,,
480170061305,5.0,,,
480170061309,7.0,,,
480170061312,5.0,,,
480170061314,7.0,,,
480170061315,4.0,,1.3333333333333333,
480170061317,4.1923076923076925,6.0,2.5,
480170061318,6.0,,2.0,
480170061321,4.461538461538462,2.0,1.6666666666666667,
480170061325,4.4,,1.6666666666666667,
480170061326,4.733333333333333,5.75,2.0,
480170061328,5.0,,2.0,
480170061329,4.0,,,
480170061331,2.0,,,
480170061333,3.5,,2.0,
480170061335,4.333333333333333,,1.8,
480170061336,3.642857142857143,,2.0,2.0
480170061338,4.625,2.0,2.5714285714285716,
480170061339,,2.0,,
480170061340,3.3333333333333335,,2.0,
480170061341,4.0,,4.0,
480170061343,5.125,,,
480170061344,,,2.0,
480170061345,3.75,,2.0,
480170061346,4.0,,,
480170061347,4.333333333333333,,,
480170061348,5.2,,2.4,
480170061349,3.6666666666666665,,5.5,
480170061350,2.888888888888889,,1.6666666666666667,
480170061352,3.3333333333333335,,2.0,
480170061353,6.0,,1.6666666666666667,
480170061354,,,2.0,
480170061355,4.0,,,
480170061358,5.0,,,
480170061359,4.75,,,
480170061360,6.0,,,
480170061361,2.75,,2.0,
480170061362,,,1.0,
480170061363,2.0,,,
480170061365,3.5,,2.0,
480170061366,3.8461538461538463,,2.0,
480170061368,4.0,,,
480170061369,4.333333333333333,,2.0,
480170061370,5.5,,2.25,
480170061371,,,2.0,
480170061375,8.0,,2.0,
480170061377,4.787878787878788,3.0,1.5,
480170061378,4.0,,2.0,
480170061379,4.0,,2.0,
480170061380,4.333333333333333,,1.6666666666666667,
480170061381,10.0,,,
480170061383,3.6666666666666665,,,
480170061384,2.0,,2.0,
480170061386,,,2.0,
480170061388,4.25,,1.0,
480170061390,4.0,,3.0,
480170061391,2.0,,,
480170061393,5.222222222222222,,2.5,
480170061394,,,1.0,
480170061395,4.25,3.0,2.0,
480170061396,3.3333333333333335,,1.0,
