SEZ2011,AGG_COUNT,bedrooms,accommodates,E27,PF1
"480170060994","2","3","6","602","590"
"480170060995","90","165","359","12600","7470"
"480170060996","3","7","19","210","168"
"480170060998","1","1","4","4","25"
"480170060999","4","5","14","168","376"
"480170061000","1","1","2","150","142"
"480170061001","5","6","15","945","880"
"480170061002","34","47","114","6018","4896"
"480170061003","2","3","9","126","114"
"480170061004","20","34","93","1760","1020"
"480170061005","5","5","13","485","415"
"480170061006","1","1","2","132","139"
"480170061007","1","2","6","20","19"
"480170061009","2","2","6","80","66"
"480170061010","23","31","76","3128","2944"
"480170061011","100","140","380","15300","15300"
"480170061013","1","1","3","69","70"
"480170061014","4","5","15","532","456"
"480170061017","42","59","168","6258","5922"
"480170061018","2","2","6","176","176"
"480170061019","1","1","4","255","264"
"480170061021","1","1","2","84","85"
"480170061023","5","5","14","295","235"
"480170061025","40","53","133","2560","2240"
"480170061026","1","3","6","107","74"
"480170061035","4","3","8","660","644"
"480170061036","1","1","2","67","61"
"480170061037","2","2","6","570","568"
"480170061039","1","1","2","224","205"
"480170061040","1","1","2","136","136"
"480170061043","3","5","10","285","261"
"480170061044","19","26","65","1235","1311"
"480170061045","83","115","326","21580","16683"
"480170061049","2","5","12","166","120"
"480170061050","26","30","85","1690","1300"
"480170061051","2","2","6","284","288"
"480170061053","8","19","31","648","576"
"480170061055","12","15","42","792","588"
"480170061057","1","2","4","117","108"
"480170061058","20","28","73","1440","700"
"480170061061","1","1","5","19","15"
"480170061064","27","40","101","1782","1755"
"480170061065","1","1","2","187","159"
"480170061066","28","44","101","2212","2072"
"480170061068","4","4","14","824","808"
"480170061069","29","46","125","3190","3799"
"480170061070","6","9","22","684","474"
"480170061071","59","86","224","9735","4602"
"480170061072","1","1","2","198","178"
"480170061073","63","98","253","4473","5103"
"480170061075","1","2","6","189","190"
"480170061076","10","21","48","1540","930"
"480170061077","1","2","4","0","0"
"480170061078","2","4","10","228","212"
"480170061079","8","12","34","176","104"
"480170061081","1","1","2","22","18"
"480170061082","2","2","4","118","92"
"480170061086","2","5","12","0","0"
"480170061087","1","1","4","121","129"
"480170061089","1","1","2","55","52"
"480170061090","17","25","64","221","153"
"480170061091","10","15","34","1270","870"
"480170061092","31","50","116","0","0"
"480170061094","55","89","210","6215","6765"
"480170061095","1","1","3","183","164"
"480170061099","1","1","2","12","12"
"480170061100","4","4","17","984","948"
"480170061104","3","3","10","273","240"
"480170061106","1","1","1","138","128"
"480170061109","1","1","1","42","35"
"480170061110","14","22","51","1652","1806"
"480170061111","1","2","5","279","281"
"480170061112","28","42","104","2912","3052"
"480170061114","2","3","6","418","292"
"480170061115","27","42","105","2538","1539"
"480170061118","1","1","2","10","0"
"480170061119","2","3","7","294","296"
"480170061120","2","2","5","70","76"
"480170061121","18","22","57","2286","810"
"480170061123","3","5","10","159","144"
"480170061124","1","1","2","176","183"
"480170061125","2","3","5","98","78"
"480170061127","3","3","6","486","372"
"480170061132","25","33","100","2600","1250"
"480170061133","2","4","9","272","218"
"480170061134","1","1","2","178","185"
"480170061135","21","28","84","1050","987"
"480170061137","4","2","10","740","744"
"480170061141","21","37","81","798","609"
"480170061145","2","4","8","282","274"
"480170061149","44","56","152","11264","10296"
"480170061150","1","1","2","176","174"
"480170061153","7","12","29","1260","826"
"480170061157","18","26","79","1890","2070"
"480170061160","24","32","93","1872","1368"
"480170061161","1","1","3","179","165"
"480170061165","14","17","35","1330","1050"
"480170061169","1","0","3","124","128"
"480170061170","18","28","81","1782","1188"
"480170061173","1","1","4","75","72"
"480170061174","2","5","10","554","550"
"480170061176","3","6","13","192","174"
"480170061177","53","64","196","17649","7155"
"480170061179","4","4","14","616","556"
"480170061180","3","5","13","429","375"
"480170061183","1","1","3","68","63"
"480170061186","22","36","91","2222","1100"
"480170061191","1","2","4","15","14"
"480170061194","40","54","141","2200","1960"
"480170061196","1","4","8","10","8"
"480170061201","16","24","61","1264","992"
"480170061203","1","4","8","51","53"
"480170061206","3","6","10","291","267"
"480170061208","5","6","16","1145","1050"
"480170061210","1","3","6","417","429"
"480170061213","2","2","6","122","92"
"480170061214","6","8","22","36","6"
"480170061217","4","5","17","624","572"
"480170061221","42","71","177","6174","7224"
"480170061222","10","15","30","630","450"
"480170061223","3","7","16","279","240"
"480170061224","2","3","7","150","164"
"480170061226","83","106","291","25813","13612"
"480170061232","21","24","63","1701","882"
"480170061235","7","9","25","21","14"
"480170061237","1","1","2","86","84"
"480170061238","2","3","6","310","290"
"480170061239","1","2","3","425","406"
"480170061243","1","1","5","170","158"
"480170061244","23","45","113","2760","3036"
"480170061245","2","3","8","304","310"
"480170061247","6","13","32","282","168"
"480170061249","3","5","11","21","21"
"480170061251","3","3","8","528","564"
"480170061252","13","25","63","1976","1274"
"480170061257","16","25","69","80","48"
"480170061258","1","1","3","315","317"
"480170061259","16","19","55","432","352"
"480170061261","16","28","69","112","48"
"480170061262","4","4","8","472","460"
