SEZ2011,Entire home/apt,Hotel room,Private room,Shared room
480170060785,4.0,7.0,,
480170060787,33.083333333333336,,1.3333333333333333,
480170060789,48.833333333333336,,1.0,
480170060790,16.333333333333332,,1.0,
480170060791,40.333333333333336,,0.6666666666666666,
480170060793,3.75,,,
480170060795,32.0,,,
480170060796,236.0,,,
480170060798,34.95238095238095,,3.3333333333333335,
480170060799,12.23076923076923,,2.75,
480170060800,5.166666666666667,5.0,,
480170060801,2.0,,,
480170060802,1.0,,1.0,
480170060803,211.0,,0.0,
480170060804,25.74418604651163,,2.0,
480170060807,1.0,,,
480170060809,1.25,,,
480170060810,42.666666666666664,9.666666666666666,,
480170060812,7.117647058823529,,7.333333333333333,
480170060815,14.23076923076923,,2.6666666666666665,
480170060816,2.0,17.0,,
480170060817,7.5,,3.0,
480170060818,28.323076923076922,11.0,11.307692307692308,
480170060819,2.0,,5.0,
480170060820,,,5.0,
480170060821,1.0,,,
480170060822,22.90909090909091,,4.0,
480170060823,38.5,,,
480170060824,24.5,,,
480170060825,72.6923076923077,,1.5,
480170060826,2.5,,,
480170060827,5.0,,,
480170060828,0.3333333333333333,,,
480170060829,27.9,,16.0,
480170060830,0.0,,,
480170060831,,,1.0,
480170060833,281.75,10.0,6.0,
480170060835,14.5,,1.5,
480170060836,34.90909090909091,,2.75,
480170060837,2.5,,,
480170060838,10.4375,,5.333333333333333,
480170060839,3.4,5.0,3.3333333333333335,
480170060840,2.75,,,
480170060841,2.0,,4.0,
480170060842,21.586206896551722,,2.0,
480170060843,2.0,,6.2,
480170060844,22.53846153846154,,3.0,
480170060845,4.0,,,
480170060846,43.53333333333333,17.0,2.6666666666666665,
480170060847,12.807692307692308,,3.3333333333333335,
480170060848,56.0,,,
480170060850,,,3.0,
480170060851,39.0,,1.0,
480170060852,3.0,,,
480170060855,35.0,5.0,,
480170060858,11.0,,,
480170060859,1.0,,,
480170060861,38.92857142857143,,2.0,
480170060862,3.0,,,
480170060863,5.0,,,
480170060864,4.625,,2.0,
480170060865,19.0625,,2.5,
480170060866,2.3333333333333335,,2.25,
480170060867,21.6,11.0,40.0,
480170060870,1.0,,,
480170060873,1.0,,2.0,1.0
480170060874,30.363636363636363,,4.333333333333333,
480170060877,44.0,10.0,,
480170060878,1.0,,,
480170060879,59.666666666666664,,10.5,
480170060881,45.666666666666664,,4.0,
480170060883,40.111111111111114,10.0,2.0,
480170060884,7.0,,0.0,
480170060886,2.6,6.0,6.75,
480170060887,3.3333333333333335,,3.5,
480170060888,21.071428571428573,,1.75,
480170060890,2.0,,,
480170060891,,,0.0,
480170060892,,,1.0,
480170060895,30.45,,3.0,
480170060896,1.5,,,
480170060897,23.9,,2.5,
480170060899,1.0,,,
480170060902,4.857142857142857,,1.0,
480170060906,13.333333333333334,10.0,,
480170060907,1.6666666666666667,,0.5,
480170060908,1.0,,10.0,
480170060910,4.0,,3.3333333333333335,
480170060911,3.0,,,
480170060912,,,2.0,
480170060915,1.0,,0.0,
480170060916,18.517241379310345,3.0,14.9375,
480170060917,63.2,,,
480170060918,23.458333333333332,6.0,,
480170060919,19.34285714285714,,1.0,
480170060920,189.0,,1.0,
480170060921,1.0,,2.0,
480170060922,1.0,,,
480170060924,27.0,5.0,2.0,
480170060927,0.0,,,
480170060928,49.6,,,
