census_tract_id,AGG_COUNT,effected_by_policy_1,effected_by_policy_2,effected_by_policy_3,P1,A46,A47,PF1,E3,E27,calculated_host_listings_count,bedrooms,accommodates
"480170060433","21","21","19","14","3654","840","861","2037","399","2625","240","45","112"
"480170060434","9","9","2","9","135","63","45","108","9","117","205","42","121"
"480170060435","29","26","28","16","14471","1479","5249","7540","1276","6322","187","40","105"
"480170060436","227","215","212","121","254921","36320","74456","132795","38136","152090","3790","335","857"
"480170060437","9","8","7","4","450","18","234","297","90","288","80","15","38"
"480170060440","4","4","2","0","804","64","312","412","56","504","5","5","13"
"480170060443","1","1","1","0","116","2","50","62","20","81","1","3","5"
"480170060444","19","18","18","12","1843","437","551","1121","190","1064","220","32","94"
"480170060446","3","3","3","0","1206","87","438","558","51","561","3","5","12"
"480170060448","34","29","33","19","6698","1700","1938","4080","442","3638","215","46","114"
"480170060449","3","3","3","0","933","48","381","462","45","582","4","6","21"
"480170060450","15","12","14","10","1455","345","360","735","120","945","155","22","57"
"480170060452","4","3","4","3","44","4","20","24","12","28","59","7","16"
"480170060453","1","1","1","0","264","18","110","141","11","149","1","1","4"
"480170060455","7","5","2","5","4298","434","1470","2114","147","2338","20","10","26"
"480170060456","14","14","13","9","490","70","56","266","84","476","372","31","71"
"480170060458","1","1","1","0","23","2","7","9","6","11","1","1","2"
"480170060459","1","1","1","0","349","52","105","177","10","171","1","1","4"
"480170060460","64","59","58","32","31552","3904","9600","17024","3200","15296","506","88","239"
"480170060461","1","1","0","0","269","39","81","125","18","132","1","1","2"
"480170060464","2","2","2","0","714","122","180","314","28","338","3","1","5"
"480170060465","1","1","0","0","16","3","4","7","3","6","1","1","2"
"480170060466","9","7","7","2","1782","126","621","882","216","990","18","14","34"
"480170060469","1","1","1","0","283","17","116","142","10","148","1","1","4"
"480170060470","2","2","1","0","844","30","346","396","72","382","3","3","8"
"480170060471","4","4","2","0","940","68","344","464","28","384","4","4","12"
"480170060472","10","9","10","5","170","10","50","60","30","80","60","16","40"
"480170060473","5","5","5","3","1770","100","675","830","65","985","39","3","16"
"480170060474","11","9","10","7","2332","396","847","1331","396","1309","198","14","33"
"480170060475","34","28","31","15","2414","476","1020","1632","68","1666","951","57","162"
"480170060476","2","2","2","2","0","0","0","0","0","0","13","2","4"
"480170060477","27","26","22","18","4185","621","1404","2646","486","2565","220","51","152"
"480170060478","2","2","1","0","390","40","126","174","24","172","3","3","8"
"480170060479","18","18","15","9","0","0","0","0","0","0","77","28","71"
"480170060480","21","21","20","10","1974","336","819","1344","294","1449","478","26","78"
"480170060482","2","2","2","2","36","12","10","28","10","34","69","5","13"
"480170060485","3","3","2","0","504","15","165","198","63","201","4","5","12"
"480170060488","3","3","1","0","897","75","345","453","93","513","4","3","6"
"480170060489","6","5","6","5","750","144","150","324","84","300","92","10","23"
"480170060490","1","1","0","0","104","13","38","53","3","55","1","1","2"
"480170060491","11","11","9","6","704","88","253","385","121","407","159","18","48"
"480170060492","22","21","20","14","2398","242","880","1254","286","1540","442","36","99"
"480170060493","20","20","18","13","1200","120","560","780","60","860","294","23","63"
"480170060495","1","1","0","0","354","12","132","157","34","151","1","1","2"
